sample_id,md_raw,md_score
7,3,1.0
17,3,1.0
21,3,1.0
31,3,1.0
32,3,1.0
33,3,1.0
34,3,1.0
43,3,1.0
46,2,0.3
47,3,1.0
50,1,0.0
70,2,0.3
72,1,0.0
73,2,0.3
74,2,0.3
76,3,1.0
78,2,0.3
79,3,1.0
80,1,0.0
81,2,0.3
82,2,0.3
83,1,0.0
84,2,0.3
85,3,1.0
88,2,0.3
99,2,0.3
104,3,1.0
105,1,0.0
106,3,1.0
111,2,0.3
112,2,0.3
113,2,0.3
116,3,1.0
120,3,1.0
124,3,1.0
128,1,0.0
135,3,1.0
136,3,1.0
139,3,1.0
143,3,1.0
146,3,1.0
156,3,1.0
157,2,0.3
159,1,0.0
164,3,1.0
168,3,1.0
170,3,1.0
172,3,1.0
175,3,1.0
177,3,1.0
178,3,1.0
183,3,1.0
184,3,1.0
186,3,1.0
193,3,1.0
195,3,1.0
197,3,1.0
202,3,1.0
228,3,1.0
243,3,1.0
244,1,0.0
247,3,1.0
258,3,1.0
260,3,1.0
262,2,0.3
272,3,1.0
278,1,0.0
280,3,1.0
283,3,1.0
285,1,0.0
289,2,0.3
290,3,1.0
294,3,1.0
297,3,1.0
340,3,1.0
341,3,1.0
343,3,1.0
344,3,1.0
345,3,1.0
346,3,1.0
347,3,1.0
348,3,1.0
350,2,0.3
351,2,0.3
353,3,1.0
355,2,0.3
356,2,0.3
359,3,1.0
361,3,1.0
362,3,1.0
363,3,1.0
367,3,1.0
370,3,1.0
373,3,1.0
382,3,1.0
397,3,1.0
402,3,1.0
406,1,0.0
407,3,1.0
408,1,0.0
409,1,0.0
419,2,0.3
431,3,1.0
454,2,0.3
455,2,0.3
456,2,0.3
458,2,0.3
461,3,1.0
466,3,1.0
468,3,1.0
471,2,0.3
474,2,0.3
475,3,1.0
477,2,0.3
479,2,0.3
491,3,1.0
526,2,0.3
555,3,1.0
556,3,1.0
557,3,1.0
560,3,1.0
569,3,1.0
575,3,1.0
577,3,1.0
578,3,1.0
580,3,1.0
590,3,1.0
591,3,1.0
605,3,1.0
610,3,1.0
612,3,1.0
617,3,1.0
627,3,1.0
629,3,1.0
633,3,1.0
636,3,1.0
641,3,1.0
642,3,1.0
643,3,1.0
645,3,1.0
646,3,1.0
647,3,1.0
648,3,1.0
650,3,1.0
651,3,1.0
652,2,0.3
653,3,1.0
654,3,1.0
655,3,1.0
656,3,1.0
657,3,1.0
658,3,1.0
659,3,1.0
660,3,1.0
661,3,1.0
662,3,1.0
663,2,0.3
664,3,1.0
665,3,1.0
666,3,1.0
668,3,1.0
669,3,1.0
671,3,1.0
672,3,1.0
673,3,1.0
674,3,1.0
675,3,1.0
677,3,1.0
678,3,1.0
679,3,1.0
692,1,0.0
695,3,1.0
700,3,1.0
701,2,0.3
704,3,1.0
706,3,1.0
707,3,1.0
729,2,0.3
735,2,0.3
756,3,1.0
759,3,1.0
761,3,1.0
780,3,1.0
792,3,1.0
800,1,0.0
802,2,0.3
829,3,1.0
844,3,1.0
848,3,1.0
849,3,1.0
850,3,1.0
852,3,1.0
853,3,1.0
857,3,1.0
858,3,1.0
859,3,1.0
862,3,1.0
867,2,0.3
873,3,1.0
879,3,1.0
