tag,sample_id,baseline_orig_gen_clip,svd_fi_orig_gen_clip,delta_clip,baseline_orig_gen_xclip,svd_fi_orig_gen_xclip,delta_xclip
前10个case平均 (id:7-47),,0.8753,0.9037,0.0284,0.7491,0.8074,0.0583
后20个case平均 (id:50-111),,0.8872,0.8924,0.0052,0.6789,0.6958,0.0169
,,,,,,,
animal,32,0.8536,0.9188,0.0652,0.7001,0.8395,0.1394
animal,34,0.8681,0.8962,0.0281,0.7591,0.8751,0.116
animal,43,0.9622,0.9604,-0.0018,0.9262,0.9156,-0.0106
animal,47,0.8921,0.8801,-0.012,0.862,0.8305,-0.0315
"animal (平均, n=4)",,0.894,0.9139,0.0199,0.8119,0.8652,0.0533
,,,,,,,
camera motion,17,0.8581,0.9102,0.0521,0.7524,0.8543,0.1019
camera motion,43,0.9622,0.9604,-0.0018,0.9262,0.9156,-0.0106
camera motion,72,0.8469,0.9199,0.073,0.7665,0.8869,0.1204
camera motion,76,0.8889,0.8608,-0.0282,0.5712,0.5435,-0.0277
camera motion,79,0.9202,0.8791,-0.0411,0.7356,0.7854,0.0497
camera motion,80,0.9415,0.9238,-0.0177,0.7631,0.6622,-0.1008
camera motion,82,0.9176,0.9002,-0.0174,0.642,0.6902,0.0481
camera motion,83,0.9127,0.9004,-0.0123,0.8752,0.8953,0.0201
camera motion,84,0.8831,0.8696,-0.0135,0.6178,0.6351,0.0173
camera motion,85,0.8973,0.9025,0.0053,0.4573,0.54,0.0827
camera motion,105,0.8971,0.916,0.0189,0.7221,0.6509,-0.0712
camera motion,111,0.8703,0.9369,0.0667,0.5721,0.8555,0.2834
"camera motion (平均, n=12)",,0.8997,0.9067,0.007,0.7001,0.7429,0.0428
,,,,,,,
human - activity,33,0.7612,0.8353,0.0741,0.6603,0.8635,0.2032
human - activity,99,0.7611,0.8756,0.1145,0.6617,0.744,0.0824
"human - activity (平均, n=2)",,0.7612,0.8555,0.0943,0.661,0.8038,0.1428
,,,,,,,
physics - acceleration,17,0.8581,0.9102,0.0521,0.7524,0.8543,0.1019
"physics - acceleration (平均, n=1)",,0.8581,0.9102,0.0521,0.7524,0.8543,0.1019
,,,,,,,
physics - fluid dynamics,7,0.8674,0.9372,0.0698,0.7473,0.7681,0.0208
"physics - fluid dynamics (平均, n=1)",,0.8674,0.9372,0.0698,0.7473,0.7681,0.0208
,,,,,,,
scene,70,0.8035,0.8074,0.0039,0.5776,0.6329,0.0553
scene,72,0.8469,0.9199,0.073,0.7665,0.8869,0.1204
scene,73,0.8547,0.8972,0.0425,0.7535,0.6509,-0.1025
scene,76,0.8889,0.8608,-0.0282,0.5712,0.5435,-0.0277
scene,78,0.9626,0.9501,-0.0125,0.89,0.8349,-0.0551
scene,79,0.9202,0.8791,-0.0411,0.7356,0.7854,0.0497
scene,80,0.9415,0.9238,-0.0177,0.7631,0.6622,-0.1008
scene,81,0.8884,0.9162,0.0277,0.7826,0.7824,-0.0002
scene,82,0.9176,0.9002,-0.0174,0.642,0.6902,0.0481
scene,83,0.9127,0.9004,-0.0123,0.8752,0.8953,0.0201
scene,84,0.8831,0.8696,-0.0135,0.6178,0.6351,0.0173
scene,85,0.8973,0.9025,0.0053,0.4573,0.54,0.0827
scene,88,0.9103,0.8934,-0.0169,0.6692,0.7299,0.0608
scene,105,0.8971,0.916,0.0189,0.7221,0.6509,-0.0712
scene,106,0.8793,0.8605,-0.0188,0.6071,0.5184,-0.0888
scene,111,0.8703,0.9369,0.0667,0.5721,0.8555,0.2834
"scene (平均, n=16)",,0.8922,0.8959,0.0037,0.6877,0.7059,0.0182
,,,,,,,
unusual activity,21,0.9011,0.9414,0.0403,0.7732,0.8064,0.0332
unusual activity,31,0.9123,0.8524,-0.0599,0.6094,0.5564,-0.053
unusual activity,50,0.9264,0.8967,-0.0297,0.8466,0.7915,-0.0552
unusual activity,84,0.8831,0.8696,-0.0135,0.6178,0.6351,0.0173
"unusual activity (平均, n=4)",,0.9057,0.89,-0.0157,0.7117,0.6973,-0.0144
,,,,,,,
unusual subject,46,0.8764,0.9048,0.0284,0.701,0.7647,0.0637
unusual subject,74,0.9413,0.9199,-0.0214,0.4406,0.4227,-0.0179
unusual subject,104,0.8417,0.8223,-0.0195,0.626,0.6639,0.0379
"unusual subject (平均, n=3)",,0.8865,0.8823,-0.0042,0.5892,0.6171,0.0279
,,,,,,,
总体平均 (n=30),,0.8832,0.8962,0.0129,0.7023,0.733,0.0307
